Dupe 1,Dupe 2
399688,399755
399687,399754
399686,399751
399685,399750
399684,399749
399683,399748
399682,399747
399681,399746
399680,399743
399678,399742
399676,399740
399675,399738
399674,399736
399673,399735
399672,399734
399670,399732
399669,399731
399668,399730
399667,399729
399665,399728
396118,399706
399618,399649
399610,399648
399593,399646
399592,399645
399590,399644
399586,399642
399585,399641
399584,399640
399583,399639
399582,399638
399581,399637
399580,399636
399579,399635
399577,399634
399576,399633
399575,399632
399574,399630
399573,399629
399572,399628
399569,399626
399565,399625
399564,399623
399563,399622
399562,399621
399560,399620
399559,399617
399558,399616
399556,399615
399555,399614
399554,399613
399553,399612
399552,399611
399550,399609
399549,399608
399548,399606
399547,399605
399546,399604
399545,399603
399544,399601
399543,399600
399542,399599
399541,399598
399540,399597
399539,399596
396992,399568
399508,399523
399457,399520
399417,399519
399416,399518
399415,399517
399414,399516
399412,399515
399411,399514
399409,399513
399406,399512
399401,399511
399400,399510
399398,399509
399397,399507
398718,399506
399396,399504
399393,399503
399392,399502
399391,399501
399387,399500
399386,399499
399385,399498
399384,399497
399382,399495
399198,399494
399381,399493
399380,399491
399379,399490
399377,399488
399376,399487
399375,399486
399374,399485
399372,399484
399371,399482
399370,399481
399368,399480
399367,399479
399366,399478
399364,399477
399363,399476
399362,399475
399361,399474
399360,399473
399357,399471
399356,399467
399355,399464
399351,399458
399349,399454
399347,399453
399344,399452
399342,399451
399341,399450
399340,399449
399338,399448
399335,399446
399330,399444
399329,399443
399418,399442
399328,399439
399327,399438
399326,399437
399325,399436
399323,399435
399322,399434
399321,399433
399320,399432
399319,399431
399317,399428
399315,399427
399314,399426
399313,399425
399311,399423
399310,399422
394538,399421
398939,399388
399259,399316
399282,399291
399281,399290
399280,399288
399279,399287
399277,399286
399276,399285
399275,399284
399253,399270
399251,399269
399249,399267
399248,399266
399247,399265
399246,399264
399245,399263
399255,399262
399241,399261
399240,399260
399239,399258
399227,399235
399221,399234
399220,399233
399222,399232
399218,399231
399217,399229
399216,399226
399215,399225
399214,399223
399200,399210
399197,399209
399042,399208
399195,399207
399194,399206
399193,399204
399192,399202
399191,399201
402151,399199
399147,399196
399113,399182
399111,399181
399109,399179
399108,399178
399107,399177
399106,399176
399105,399175
399104,399173
399102,399172
399101,399170
399100,399169
399099,399168
399117,399167
399096,399166
399095,399164
399093,399163
399091,399162
399090,399161
399089,399160
399088,399159
399087,399158
399086,399157
399085,399156
399084,399155
399083,399154
399081,399153
399080,399152
399079,399151
399078,399150
399077,399149
399076,399148
399075,399146
399074,399144
399072,399143
399071,399140
399070,399138
399069,399137
399068,399135
399067,399134
399063,399133
399062,399132
398549,399128
399059,399127
399058,399126
399057,399125
399056,399124
399055,399123
399054,399122
399025,399041
399013,399039
399012,399038
399011,399037
394742,399036
399007,399034
399006,399033
399005,399031
399004,399030
399003,399029
399002,399028
399001,399027
399000,399026
398999,399024
398997,399023
398996,399022
398995,399021
398994,399020
398993,399019
398992,399018
398971,398986
398920,398985
398906,398983
398896,398982
398891,398981
398840,398980
398743,398978
398741,398976
398740,398975
398738,398973
398737,398972
398736,398970
398735,398969
398734,398968
398750,398967
398733,398964
398731,398963
398749,398962
398729,398961
398726,398960
398725,398959
398723,398957
398722,398956
398721,398955
398719,398953
398717,398951
398716,398950
398715,398949
398712,398948
398711,398947
398710,398946
398709,398945
398708,398944
398707,398943
398706,398942
398704,398941
398702,398940
398700,398938
398699,398937
398698,398936
398697,398935
398696,398934
398695,398933
398694,398932
395630,398931
398692,398930
398691,398929
398690,398928
398689,398927
398687,398926
398686,398925
398685,398924
398683,398923
398682,398922
398681,398918
398678,398915
398677,398914
398676,398913
398675,398912
398674,398911
398672,398910
398671,398907
398669,398904
398667,398903
398666,398902
398664,398900
398662,398899
398748,398898
398661,398897
398660,398895
398659,398894
398658,398893
398657,398892
398656,398890
398655,398889
398654,398887
398653,398886
398652,398885
398651,398884
398648,398880
398647,398879
398646,398878
398645,398877
398643,398874
398642,398873
398641,398872
398640,398871
398639,398870
398637,398869
398635,398868
398634,398867
398633,398866
398632,398865
398631,398864
398630,398863
398629,398861
398628,398860
398627,398858
398626,398857
398625,398856
398622,398855
398619,398854
398618,398853
398617,398852
398616,398850
398615,398849
398614,398848
398613,398847
398612,398846
398611,398845
398610,398843
398609,398842
398608,398841
398607,398839
398606,398838
398603,398837
398601,398836
398600,398835
398599,398834
398597,398833
398596,398831
398595,398829
398594,398828
398593,398827
398592,398826
398591,398824
398590,398823
398589,398822
398588,398820
398587,398819
398586,398818
398585,398817
398583,398816
398582,398815
398581,398813
398580,398812
398578,398811
398577,398810
398576,398809
398575,398807
398573,398806
398572,398804
398571,398803
398569,398802
398568,398800
398567,398799
398566,398798
398565,398797
398563,398796
398561,398795
398559,398794
398558,398793
398557,398792
398556,398791
398745,398790
398555,398789
398552,398787
398551,398785
398548,398784
398546,398781
398545,398780
398544,398778
398542,398777
398541,398774
398540,398773
398539,398772
398537,398771
398536,398769
398535,398768
398534,398766
398533,398765
398532,398764
398531,398761
398530,398760
398529,398759
398491,398492
398487,398488
398482,398486
398481,398485
398449,398484
398441,398483
398465,398478
398464,398477
398463,398476
398461,398475
398460,398474
398459,398473
398458,398472
398455,398471
398454,398469
398453,398468
398452,398467
397279,398456
398437,398442
398428,398440
398427,398439
398426,398438
398425,398435
398424,398434
398423,398433
398156,398431
398406,398418
398404,398417
398403,398416
398402,398415
398401,398414
398400,398413
398397,398412
398395,398411
398394,398410
398393,398409
396319,398408
397352,398399
397289,398387
398358,398386
398331,398385
398328,398384
398316,398383
398284,398381
398280,398380
398274,398379
398266,398378
398264,398372
398262,398371
398261,398369
398260,398368
398259,398367
398258,398366
398256,398365
398255,398363
398254,398362
398253,398361
398250,398360
398248,398359
398247,398357
398246,398356
398245,398355
398244,398354
398243,398353
398241,398352
398240,398351
398239,398350
398238,398349
398237,398348
398236,398347
398235,398346
398234,398345
398232,398344
398231,398343
398228,398340
395494,398339
398226,398337
395491,398336
398225,398335
398224,398334
398223,398333
398222,398332
398221,398330
398216,398329
398214,398327
398213,398326
395601,398325
398211,398323
398210,398322
398209,398321
398207,398320
398206,398319
398204,398318
398203,398317
398202,398315
398201,398314
398199,398312
398198,398311
398197,398310
398196,398309
398195,398308
398193,398307
398191,398306
398190,398305
398189,398304
398188,398303
398187,398301
398186,398300
398184,398299
398183,398298
398181,398297
398180,398296
398179,398295
398178,398294
398177,398293
398176,398292
398175,398291
398174,398290
398173,398289
398172,398288
398171,398286
398170,398285
398169,398283
398168,398282
398167,398281
398166,398278
398165,398277
398164,398276
398163,398275
398162,398273
398161,398271
398160,398270
398159,398269
398158,398268
398157,398267
387310,398219
397764,398130
398123,398129
398121,398128
398029,398127
398120,398126
398119,398125
398118,398124
398090,398117
398069,398114
398058,398111
396227,398110
398056,398109
398055,398108
398053,398107
398052,398104
398051,398103
398050,398102
398049,398100
398048,398099
398047,398098
398046,398097
398045,398096
398044,398095
398042,398093
398041,398092
398040,398091
398039,398089
398038,398088
398037,398087
398035,398085
398034,398084
398032,398083
398031,398081
398028,398080
398026,398079
398025,398077
398024,398076
398023,398075
398022,398074
398020,398073
398019,398072
398018,398071
398017,398068
398016,398067
398015,398066
398011,398065
398009,398062
398008,398061
398006,398060
397951,398012
395803,397996
397940,397995
397939,397994
397938,397993
397937,397992
397936,397991
397935,397990
397934,397989
397933,397988
397932,397987
397931,397986
397929,397984
397927,397982
395190,397981
397943,397980
397924,397979
397923,397978
397922,397977
397921,397976
397920,397975
397919,397973
397918,397972
397917,397971
397916,397970
397913,397967
397912,397966
397909,397965
397907,397964
397906,397963
397905,397962
397904,397961
397903,397960
397902,397959
397901,397957
397900,397956
397899,397955
397942,397954
397896,397953
397895,397952
397894,397950
397893,397949
397892,397948
397891,397947
397873,397880
397861,397879
397852,397878
397829,397876
397827,397875
397822,397874
397819,397872
397818,397871
397817,397870
397816,397868
397814,397866
397813,397864
397811,397863
397810,397862
397834,397860
397078,397859
395927,397858
397809,397857
397806,397856
397805,397855
397804,397854
397803,397853
397800,397851
397799,397850
397798,397848
397833,397847
397795,397846
397793,397845
397791,397844
397790,397843
397789,397842
397788,397841
397787,397840
397785,397839
397784,397838
397768,397772
397767,397771
397766,397770
397755,397765
397753,397763
397719,397761
397718,397758
397717,397757
397716,397756
397715,397752
397714,397751
397713,397750
397711,397749
397710,397748
397709,397747
397705,397746
397704,397745
397702,397743
397701,397742
397700,397741
397697,397740
397696,397739
397695,397738
397694,397737
397692,397735
397691,397734
397690,397732
397689,397731
397688,397730
397687,397729
397686,397728
397685,397727
397683,397725
397682,397724
397681,397723
