Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
Wells Fargo,www.wellsfargo.com,wellsfargo-logo.gif,> $1 Billion,>100K,Financial Services : Banks,,,420 Montgomery St,,San Francisco,United States,CA,94104,Wells Fargo a multinational banking and financial services corporation operationing on a global scale. Further; Wells Fargo is currently the 4th largest bank in the U.S. by value of assets. Wells Fargo provides a wide range of investing; bankding; credit; insurance; mortgage; consumer and commercial lending services through a wide network of branches in the US and abroad. ,,,,
Bank of America,www.bankofamerica.com,bankofamerica-logo.jpg,> $1 Billion,>100K,Financial Services : Banks,,,100 N Tryon St,,Charlotte,United States,NC,28255,Bank of America  is a multinational banking and financial services company with a wide network of branches in the US and abroad. It is the second largest bank in the US by value of assets.,,,,
Citigroup,www.citigroup.com,citigroup-logo.jpg,> $1 Billion,>100K,Financial Services : Banks,,,399 Park Ave,,New York,United States,NY,10022,Citigroup is multinational bankding and financial services company with operations spanning the globe. Citigroup operates the largest banking network in over 100 countries through 15;000+ global offices.  It employs 260;000 staff globally. ,https://www.facebook.com/citi,http://www.linkedin.com/company/citi,https://twitter.com/citi,
PNC Financial Services,www.pnc.com,pnc-logo.jpg,> $1 Billion,50K-100K,Financial Services : Banks,,,249 5th Ave One Pnc Plaza,,Pittsburgh,United States,PA,15222,PNC Financial Services Groupis afinancial services company; with assets of approximately $270 billion. PNC operations include a regional banking franchise operating primarily in nineteen states and the District of Columbia; specialized financial businesses serving companies and government entities.,https://www.facebook.com/pncbank,,https://twitter.com/pncnews,
The Bank of New York Mellon,www.bnymellon.com,bnymellon-logo.gif,> $1 Billion,10K-50K,Financial Services : Banks,,,1 Wall St,,New York,United States,NY,10286,BNY Mellon is a leading investment management and investment services company that was formed on in July 2007 as result of the merger of The Bank of New York and Mellon Financial Corporation. The company employs 50;000 staff  worldwide and has over $1.5 trillion in assets under management and US$27.69 trillion in assets under custody and administration. This makes it  the largest bank in the world. Its business includes but is not limited to wealth management; advisory services; asset management; asset servicing; treasury services; broker-dealer; and issuance services.,https://www.facebook.com/bnymellon?v=app_4949752878,http://www.linkedin.com/company/bny-mellon,www.twitter.com/bnymellon,
SunTrust Banks,www.suntrust.com,suntrust-logo.png,> $1 Billion,10K-50K,Financial Services : Banks,,,303 Peachtree St,,Atlanta,United States,GA,30308,SunTrust Bank is one of the largest banking corporations in the US; serving a wide  range of corporate; consumer; commercial;  and institutional clients. SunTrust has assets of $172.4 billion and deposits of $129.9 billion. SunTrust Bank operates an extensive branch and ATM network throughout the high-growth Southeast and Mid-Atlantic states and a full array of technology-based; 24-hour delivery channels. Its primary businesses include deposit; credit; trust and investment services. Through various subsidiaries the Company provides mortgage banking; asset management; securities brokerage; and capital market services. ,https://www.facebook.com/suntrust,http://www.linkedin.com/company/suntrust-bank,https://twitter.com/SunTrust,https://plus.google.com/+suntrust/posts
